# x_n y_n
0 3,041592653589793
9,709145095600757 -0,4251970267967349
9,724396536110154 -0,403922283097559
9,739529114804384 -0,3824423394214441
9,754548983422662 -0,3607807566813708
9,769462585132779 -0,3389594389213312
9,784276599642949 -0,31699875422716667
9,798997895712022 -0,2949176581711562
9,81363349086769 -0,27273381704591726
9,828190517951878 -0,25046372886318047
9,842676197994068 -0,22812284070319921
9,857097818850646 -0,20572566150334984
9,871462719026987 -0,18328586977851483
9,885778276107057 -0,16081641608305192
9,900051899242749 -0,13832962026773016
9,91429102519467 -0,11583726376801225
9,928503117461588 -0,09335067729460306
9,942695668083156 -0,07088082439401686
9,956876201746601 -0,04843838141527014
9,97105228187087 -0,02603381446640775
9,985231518379424 -0,0036774539777480464
9,999421576904762 0,01862043248741002
10 0,01952727792118025
